,Track Name,Artist,Album,Duration (ms),Popularity;
918,Mal Hbibi,Saad Lamjarred,Wala Alik,195422,59;
919,Chammak Challo,Akon,Ra-One,227091,75;
920,Lamaallem,Saad Lamjarred,Lamaallem,237714,60;
921,Boushret Kheir,Hussain Aljassmi,Masri,228076,61;
922,Ghazali,Saad Lamjarred,Ghazali,214253,51;
923,Ensay,Saad Lamjarred,Ensay,224391,63;
924,Nashe Si Chadh Gayi,Vishal-Shekhar,Befikre,237875,75;
925,Versace Baby,Mohamed Ramadan,Versace Baby,180363,45;
926,Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Rab Ne Bana Di Jodi (Original),281573,74;
927,Nainowale Ne,Neeti Mohan,Padmaavat,175821,72;
928,Pasoori,Shae Gill,Pasoori,224146,80;
929,Tumse Milke Dil Ka,Sonu Nigam,Main Hoon Na,359253,71;
12,El Azul,Junior H,El Azul,187225,95;
13,Last Night,Morgan Wallen,One Thing At A Time,163854,90;
14,Die For You (with Ariana Grande) - Remix,The Weeknd,Starboy (Deluxe),232857,88;
15,Die For You,The Weeknd,Starboy,260253,91;
16,Yandel 150,Yandel,Resistencia,216148,90;
17,Heat Waves,Glass Animals,Dreamland,238805,92;
18,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,209156,92;
19,Starboy,The Weeknd,Starboy,230453,93;
"20,I Ain't Worried,OneRepublic,""I Ain’t Worried (Music From The Motion Picture """"Top Gun: Maverick"""")"",148485,94";
21,All My Life (feat. J. Cole),Lil Durk,Almost Healed,223878,84;
22,Dance The Night (From Barbie The Album),Dua Lipa,Dance The Night (From Barbie The Album),176579,91;
23,Moonlight,Kali Uchis,Red Moon In Venus,187723,88;
24,Another Love,Tom Odell,Long Way Down (Deluxe),244360,93;
25,PRC,Peso Pluma,PRC,184066,95;
"26,""Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)"",Kodak Black,""Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]"",175802,89";
27,Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,131013,95;
28,Blank Space,Taylor Swift,1989 (Deluxe),231826,90;
29,Bye,Peso Pluma,Bye,212976,89;
30,Unforgettable,French Montana,Jungle Rules,233901,86;
31,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,269666,85;
32,Dirty Little Secret,Zack Knight,Dirty Little Secret,183092,66;
33,Go Down Deh (feat. Shaggy and Sean Paul),Spice,10,154151,72;
34,One Kiss X I Was Never There,Farizki,One Kiss X I Was Never There,171305,68;
35,Queen of Hearts,Starla Edney,Queen of Hearts,191386,62;
36,Ayo Girl (Fayahh Beat) [feat. Rema],Robinson,Ayo Girl (Fayahh Beat) [feat. Rema],165215,66;
37,Lat Lag Gayee,Benny Dayal,Race 2 (Original Motion Picture Soundtrack),280369,69;
38,Malang,Pritam,Dhoom:3,273737,59;
"39,""Dippam Dappam (From """"Kaathuvaakula Rendu Kaadhal"""")"",Anirudh Ravichander,""Dippam Dappam (From """"Kaathuvaakula Rendu Kaadhal"""")"",209032,72";
40,Narin Yarin Sped Up,Mohammed Rakib,Narin Yarin Sped Up,126362,40;
41,Ishqam,Mika Singh,Ishqam,194418,65;
"42,""Manavaalan Thug - From """"Thallumaala"""""",Dabzee,""Manavaalan Thug (From """"Thallumaala"""")"",200000,69";
43,Pepeta,Nora Fatehi,Pepeta,213695,50;
44,ABUSADAMENTE - 3000beats Remix,3000BEATS,ABUSADAMENTE (3000beats Remix),203763,51;
45,I Like You (A Happier Song) (with Doja Cat),Post Malone,Twelve Carat Toothache,192840,87;
46,UNAVAILABLE (feat. Musa Keys),Davido,Timeless,169911,81;
"47,""Arabic Kuthu - Halamithi Habibo (From """"Beast"""")"",Anirudh Ravichander,""Arabic Kuthu - Halamithi Habibo (From """"Beast"""")"",279677,75";
48,Mal Hbibi,Saad Lamjarred,Wala Alik,195422,59;
49,Chammak Challo,Akon,Ra-One,227091,75;
50,Lamaallem,Saad Lamjarred,Lamaallem,237714,60;
51,Boushret Kheir,Hussain Aljassmi,Masri,228076,61;
52,Ghazali,Saad Lamjarred,Ghazali,214253,51;
53,Ensay,Saad Lamjarred,Ensay,224391,63;
54,Nashe Si Chadh Gayi,Vishal-Shekhar,Befikre,237875,75;
55,Versace Baby,Mohamed Ramadan,Versace Baby,180363,45;
56,Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Rab Ne Bana Di Jodi (Original),281573,74;
57,Nainowale Ne,Neeti Mohan,Padmaavat,175821,72;
58,Pasoori,Shae Gill,Pasoori,224146,80;
59,Tumse Milke Dil Ka,Sonu Nigam,Main Hoon Na,359253,71;
60,Lat Lag Gayee,Benny Dayal,Race 2 (Original Motion Picture Soundtrack),280369,69;
61,Reason,XO TEAM,Reason,158297,63;
62,Narin Yarin Sped Up,Mohammed Rakib,Narin Yarin Sped Up,126362,40;
63,Na Na Na Na,J Star,Na Na Na Na,209728,51;
64,Ishqam,Mika Singh,Ishqam,194418,65;
65,Dil Dooba,Sonu Nigam,Khakee,230946,69;
66,Khalouni N3ich,Najwa Farouk,Khalouni N3ich,181655,50;
67,Jalebi Baby (Tesher x Jason Derulo),Tesher,Jalebi Baby (Tesher x Jason Derulo),169154,73;
"68,""Manavaalan Thug - From """"Thallumaala"""""",Dabzee,""Manavaalan Thug (From """"Thallumaala"""")"",200000,69";
69,Ali Baba,Adam Ferello,Ali Baba,252514,45;
70,Entammede Jimikki Kammal,Vineeth Sreenivasan,Velipadinte Pusthakam (Original Motion Picture Soundtrack),201600,58;
71,Pepeta,Nora Fatehi,Pepeta,213695,50;
72,One Night in Dubai (feat. Helena),Arash,One Night in Dubai (feat. Helena),158106,60;
73,Masalei Ni,TM Bax,Masalei Ni,255425,48;
74,ABUSADAMENTE - 3000beats Remix,3000BEATS,ABUSADAMENTE (3000beats Remix),203763,51;
75,I Like You (A Happier Song) (with Doja Cat),Post Malone,Twelve Carat Toothache,192840,87;
76,UNAVAILABLE (feat. Musa Keys),Davido,Timeless,169911,81;
77,Dua Lipa,Jack Harlow,Come Home The Kids Miss You,135053,75;
78,Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy),207030,73;
79,Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),239317,95;
80,رحالة العصر الحديث,Saad Lamjarred,رحالة العصر الحديث,240014,48;
81,Janam Janam,Pritam,Dilwale (Original Motion Picture Soundtrack),237896,72;
82,Na Ja,Pav Dharia,Na Ja,208000,76;
83,Meri Mehbooba,Kumar Sanu,Pardes (Original Motion Picture Soundtrack),415906,62;
84,Chammak Challo,Akon,Ra-One,227091,75;
85,Kana Yaari,Kaifi Khalil,Kana Yaari,226802,64;
"86,""Tujhe Dekha To (From """"Dilwale Dulhania Le Jayenge"""")"",Lata Mangeshkar,Diamonds Forever - Lata Mangeshkar,303960,51";
87,Why This Kolaveri Di? - The Soup of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),260013,63;
88,Tsunami,Chawki,Tsunami,249808,40;
89,Dirty Little Secret,Zack Knight,Dirty Little Secret,183092,66;
90,Something Just Like This,The Chainsmokers,Memories...Do Not Open,247160,88;
91,What Makes You Beautiful,One Direction,Up All Night,199986,87;
92,talkSPORT Hit [16/06/23],talkSPORT Hit,talkSPORT Hit,181838,0;
93,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),156943,91;
94,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),214846,89;
95,Woman,Doja Cat,Planet Her,172626,87;
96,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),257800,87;
97,Tributes pour in for Oscar-winner Glenda Jackson following her death aged 87,HELLO! The Daily Lowdown,HELLO! The Daily Lowdown,236878,0;
98,Believer,Imagine Dragons,Evolve,204346,90;
99,Circles,Post Malone,Hollywood's Bleeding,215280,89;
100,STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),141805,87;
101,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),268426,86;
102,Ep 619: The allegations against Crispin Odey,Sensemaker,Sensemaker,502987,0;
103,CUFF IT,Beyoncé,RENAISSANCE,225388,90;
104,Heather,Conan Gray,Kid Krow,198040,88;
105,Demons,Imagine Dragons,Night Visions,177506,87;
