,Track Name,Artist,Album,Duration (ms),Popularity
0,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,221520,96
1,I Wanna Be Yours,Arctic Monkeys,AM,183956,94
2,Los del Espacio,LIT killah,Los del Espacio,338000,89
"3,See You Again (feat. Kali Uchis),""Tyler, The Creator"",Flower Boy,180386,95"
"4,""Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)"",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),231746,89"
5,Angels Like You,Miley Cyrus,Plastic Hearts,196453,93
6,El Cielo,Sky Rompiendo,El Cielo,191320,87
7,Like Crazy,Jimin,FACE,212241,94
8,Anti-Hero,Taylor Swift,Midnights,200690,95
9,BESO,ROSALÍA,RR,194543,96
"10,""Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),256026,89"
11,I'm Good (Blue),David Guetta,I'm Good (Blue),175238,95
12,El Azul,Junior H,El Azul,187225,95
13,Last Night,Morgan Wallen,One Thing At A Time,163854,90
14,Die For You (with Ariana Grande) - Remix,The Weeknd,Starboy (Deluxe),232857,88
15,Die For You,The Weeknd,Starboy,260253,91
16,Yandel 150,Yandel,Resistencia,216148,90
17,Heat Waves,Glass Animals,Dreamland,238805,92
18,Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,209156,92
19,Starboy,The Weeknd,Starboy,230453,93
"20,I Ain't Worried,OneRepublic,""I Ain’t Worried (Music From The Motion Picture """"Top Gun: Maverick"""")"",148485,94"
21,All My Life (feat. J. Cole),Lil Durk,Almost Healed,223878,84
22,Dance The Night (From Barbie The Album),Dua Lipa,Dance The Night (From Barbie The Album),176579,91
23,Moonlight,Kali Uchis,Red Moon In Venus,187723,88
24,Another Love,Tom Odell,Long Way Down (Deluxe),244360,93
25,PRC,Peso Pluma,PRC,184066,95
"26,""Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)"",Kodak Black,""Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]"",175802,89"
27,Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,131013,95
28,Blank Space,Taylor Swift,1989 (Deluxe),231826,90
29,Bye,Peso Pluma,Bye,212976,89
30,Unforgettable,French Montana,Jungle Rules,233901,86
31,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,269666,85
32,Dirty Little Secret,Zack Knight,Dirty Little Secret,183092,66
33,Go Down Deh (feat. Shaggy and Sean Paul),Spice,10,154151,72
34,One Kiss X I Was Never There,Farizki,One Kiss X I Was Never There,171305,68
35,Queen of Hearts,Starla Edney,Queen of Hearts,191386,62
30,Unforgettable,French Montana,Jungle Rules,233901,86
31,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,269666,85
32,Dirty Little Secret,Zack Knight,Dirty Little Secret,183092,66
33,Go Down Deh (feat. Shaggy and Sean Paul),Spice,10,154151,72
98,Believer,Imagine Dragons,Evolve,204346,90
99,Circles,Post Malone,Hollywood's Bleeding,215280,89
27,Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,131013,95
28,Blank Space,Taylor Swift,1989 (Deluxe),231826,90
29,Bye,Peso Pluma,Bye,212976,89
45,I Like You (A Happier Song) (with Doja Cat),Post Malone,Twelve Carat Toothache,192840,87
46,UNAVAILABLE (feat. Musa Keys),Davido,Timeless,169911,81
"10,""Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),256026,89"
11,I'm Good (Blue),David Guetta,I'm Good (Blue),175238,95
12,El Azul,Junior H,El Azul,187225,95
13,Last Night,Morgan Wallen,One Thing At A Time,163854,90
30,Unforgettable,French Montana,Jungle Rules,233901,86
31,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,269666,85
32,Dirty Little Secret,Zack Knight,Dirty Little Secret,183092,66
33,Go Down Deh (feat. Shaggy and Sean Paul),Spice,10,154151,72
55,Versace Baby,Mohamed Ramadan,Versace Baby,180363,45
93,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),156943,91
94,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),214846,89
95,Woman,Doja Cat,Planet Her,172626,87
93,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),156943,91
94,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),214846,89
95,Woman,Doja Cat,Planet Her,172626,87
63,Na Na Na Na,J Star,Na Na Na Na,209728,51
89,Dirty Little Secret,Zack Knight,Dirty Little Secret,183092,66
90,Something Just Like This,The Chainsmokers,Memories...Do Not Open,247160,88
91,What Makes You Beautiful,One Direction,Up All Night,199986,87
92,talkSPORT Hit [16/06/23],talkSPORT Hit,talkSPORT Hit,181838,0
93,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),156943,91
94,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),214846,89
95,Woman,Doja Cat,Planet Her,172626,87
96,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),257800,87
97,Tributes pour in for Oscar-winner Glenda Jackson following her death aged 87,HELLO! The Daily Lowdown,HELLO! The Daily Lowdown,236878,0
98,Believer,Imagine Dragons,Evolve,204346,90
99,Circles,Post Malone,Hollywood's Bleeding,215280,89
76,UNAVAILABLE (feat. Musa Keys),Davido,Timeless,169911,81
77,Dua Lipa,Jack Harlow,Come Home The Kids Miss You,135053,75
78,Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy),207030,73
79,Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),239317,95
98,Believer,Imagine Dragons,Evolve,204346,90
99,Circles,Post Malone,Hollywood's Bleeding,215280,89
78,Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy),207030,73
79,Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),239317,95
100,STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),141805,87
101,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),268426,86
102,Ep 619: The allegations against Crispin Odey,Sensemaker,Sensemaker,502987,0
93,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),156943,91
96,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),257800,87
89,Dirty Little Secret,Zack Knight,Dirty Little Secret,183092,66
90,Something Just Like This,The Chainsmokers,Memories...Do Not Open,247160,88
91,What Makes You Beautiful,One Direction,Up All Night,199986,87
92,talkSPORT Hit [16/06/23],talkSPORT Hit,talkSPORT Hit,181838,0
93,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),156943,91
94,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),214846,89
95,Woman,Doja Cat,Planet Her,172626,87
96,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),257800,87
97,Tributes pour in for Oscar-winner Glenda Jackson following her death aged 87,HELLO! The Daily Lowdown,HELLO! The Daily Lowdown,236878,0
98,Believer,Imagine Dragons,Evolve,204346,90
99,Circles,Post Malone,Hollywood's Bleeding,215280,89
100,STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),141805,87
101,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),268426,86
102,Ep 619: The allegations against Crispin Odey,Sensemaker,Sensemaker,502987,0
103,CUFF IT,Beyoncé,RENAISSANCE,225388,90
104,Heather,Conan Gray,Kid Krow,198040,88
105,Demons,Imagine Dragons,Night Visions,177506,87
